station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
138 ST.-GRAND CONCOURSE,0,13,26,9,2,2,0,0,28,18,0,6,2,50,0,52
149 ST.-GRAND CONCOURSE,3,96,190,81,4,1,0,11,173,172,5,14,70,305,0,375
161 ST.-YANKEE STADIUM,3,89,190,116,10,1,1,8,170,192,15,23,51,355,3,409
167 STREET,0,25,43,27,6,1,0,0,44,52,3,3,17,85,0,102
170 STREET,1,69,156,49,2,5,0,2,117,147,4,12,34,247,1,282
174-175 STREETS,0,7,11,3,0,0,0,1,7,11,0,2,2,19,0,21
176 STREET,1,55,66,28,4,1,0,1,71,76,3,4,20,134,1,155
182-183 STREETS,4,52,66,37,3,0,0,5,57,93,3,4,27,133,2,162
183 STREET,1,37,62,28,1,0,0,0,38,86,1,4,12,117,0,129
205 ST.-NORWOOD,0,8,12,6,0,0,0,1,10,9,0,6,2,24,0,26
219 STREET,0,7,15,5,0,0,0,0,14,12,0,1,2,25,0,27
225 STREET,2,15,38,15,1,0,0,0,49,18,3,1,6,65,0,71
233 STREET,0,1,7,1,0,0,0,0,5,3,0,1,1,8,0,9
238 ST.-NEREID AVE.,0,4,2,3,0,0,0,0,8,0,0,1,0,9,0,9
241 ST.-WAKEFIELD,1,10,18,8,1,0,0,0,27,6,3,2,3,34,1,38
3 AVENUE-138 STREET,1,18,66,29,0,0,0,1,43,64,1,5,5,108,1,114
3 AVENUE-149 STREET,2,53,103,44,5,0,0,3,115,81,4,4,23,183,1,207
ALLERTON AVENUE,2,5,15,6,0,0,0,1,7,17,3,0,4,24,0,28
BAYCHESTER AVENUE,0,4,6,0,0,0,0,0,7,3,0,0,1,9,0,10
BEDFORD PK. BLVD.,0,4,5,2,0,0,0,0,4,7,0,0,4,7,0,11
BEDFORD PK. BLVD.-LEHMAN COLLEGE,0,5,5,5,0,0,0,0,4,10,0,1,0,15,0,15
BRONX PARK EAST,0,21,40,13,0,0,0,7,28,34,2,3,8,66,0,74
BROOK AVENUE,0,17,23,10,0,0,0,0,12,33,3,2,1,49,0,50
BURKE AVENUE,0,0,5,2,0,0,0,1,3,3,0,0,1,6,0,7
BURNSIDE AVENUE,2,47,70,30,1,0,1,1,71,68,1,8,16,133,1,150
CASTLE HILL AVENUE,1,7,28,8,0,0,0,4,9,29,0,2,5,39,0,44
CYPRESS AVENUE,0,1,4,1,0,0,0,0,2,4,0,0,1,5,0,6
DISTRICT 12 OFFICE,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
DYRE AVE.-EASTCHESTER,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
EAST 143 ST.-ST. MARYS STREET,0,1,2,0,0,0,0,0,1,2,0,0,1,2,0,3
EAST 149 STREET,0,16,20,9,0,0,0,0,20,23,0,2,4,41,0,45
EAST 174 STREET,1,17,22,6,0,0,0,1,22,21,1,1,2,44,0,46
EAST 177 ST.-PARKCHESTER,0,32,53,15,0,0,0,11,41,43,1,4,6,94,0,100
EAST 180 STREET,3,88,136,45,6,0,1,6,146,106,11,8,24,253,1,278
EAST TREMONT AV.-WESTCHESTER SQ.,0,1,3,1,2,0,0,1,3,3,0,0,2,5,0,7
EAST TREMONT AVE.-WEST FARMS SQ.,0,6,15,4,0,0,0,1,12,8,2,2,1,23,1,25
ELDER AVENUE,0,19,25,11,1,0,1,4,11,38,1,1,11,45,0,56
Fordham Rd/Grand Concource,2,56,94,39,4,2,0,4,75,106,0,12,15,182,0,197
FORDHAM ROAD,2,22,65,32,1,0,0,3,39,69,3,8,6,116,0,122
FREEMAN STREET,0,5,14,4,1,0,0,2,12,10,0,0,0,24,0,24
GUN HILL ROAD,3,33,74,26,2,0,0,3,81,50,1,3,13,125,0,138
HUNTS POINT AVENUE,4,56,79,24,0,0,1,2,60,91,6,3,15,146,2,163
INTERVALE AVENUE,0,19,25,7,0,0,0,1,22,22,1,5,6,45,0,51
JACKSON AVENUE,1,17,31,5,0,0,0,0,20,32,0,2,6,48,0,54
KINGSBRIDGE ROAD,2,20,32,20,0,0,0,2,23,46,2,1,5,69,0,74
LONGWOOD AVENUE,0,6,5,0,0,0,0,1,3,7,0,0,1,10,0,11
MIDDLETOWN ROAD,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,2
MORRIS PARK,0,1,3,1,0,0,0,0,2,2,0,1,1,4,0,5
MOSHOLU PKWY.,0,5,7,1,0,0,0,0,7,6,0,0,1,12,0,13
MT. EDEN AVENUE,0,24,45,21,2,1,0,3,27,59,0,4,14,79,0,93
OFF-SYSTEM,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,2
OFF-SYSTEM,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,2
PELHAM BAY PARK,0,1,2,1,0,0,0,0,0,4,0,0,2,2,0,4
PELHAM PKWY.,0,7,17,1,2,0,0,1,14,10,1,1,4,22,1,27
PROSPECT AVENUE,0,20,32,13,0,0,0,0,33,28,0,4,13,52,0,65
SIMPSON STREET,2,19,39,16,1,0,0,4,42,28,2,1,4,73,0,77
SOUNDVIEW AVENUE,2,33,44,12,0,0,0,0,34,54,1,2,13,78,0,91
ST. LAWRENCE AVENUE,0,8,14,8,0,0,0,5,6,19,0,0,6,24,0,30
TREMONT AVENUE,1,28,48,28,0,0,0,3,37,61,0,4,8,97,0,105
WHITLOCK AVENUE,0,3,6,3,0,0,0,0,1,10,1,0,3,9,0,12
