station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total,public,cc,private
23 STREET,8,213,273,135,17,4,2,60,146,245,38,159,138,510,2,650,1,0,0
23 STREET-ELY AVENUE,0,8,24,4,0,0,0,2,1,27,2,4,10,26,0,36,0,0,1
FLATBUSH AVE.-BROOKLYN COLLEGE,8,134,157,70,7,3,0,18,237,78,8,38,95,284,0,379,1,0,0
137 ST.-CITY COLLEGE,2,125,195,62,8,1,1,11,109,183,18,71,73,319,1,393,1,0,0
68 ST.-HUNTER COLLEGE,14,257,216,115,4,1,4,87,99,223,18,176,213,391,3,607,1,0,0
59 ST.-COLUMBUS CIRCLE,106,1800,1898,572,82,24,12,462,884,1755,162,1207,1290,3180,12,4482,1,0,0
BEDFORD PK. BLVD.,0,8,15,2,0,0,0,0,4,19,1,1,4,21,0,25,1,0,0
BEDFORD PK. BLVD.-LEHMAN COLLEGE,3,53,111,62,3,0,0,3,52,166,4,7,17,215,0,232,1,0,0
FRANKLIN AVENUE,2,183,335,99,2,1,0,43,249,137,17,176,159,460,3,622,1,0,0
PRESIDENT STREET,0,11,8,4,2,1,0,1,12,10,1,2,4,21,1,26,1,0,0
JAY STREET-BOROUGH HALL,34,654,532,193,18,5,9,278,469,338,76,266,406,1022,8,1436,1,0,0
FLUSHING AVENUE,2,106,188,58,7,1,0,19,116,124,9,94,69,292,1,362,1,0,0
PARSONS/ARCHER-JAMAICA CENTER,3,56,75,31,0,1,0,2,71,75,15,3,22,143,1,166,1,0,0
CHAMBERS STREET,8,94,115,34,6,0,1,26,80,104,2,44,66,191,0,257,1,1,0
BURNSIDE AVENUE,4,109,159,52,9,2,1,2,156,157,5,14,29,305,1,335,1,1,0
149 ST.-GRAND CONCOURSE,3,120,278,135,9,2,0,9,255,242,4,37,85,460,2,547,1,1,0
SHEEPSHEAD BAY,7,102,130,66,4,0,1,25,52,58,18,155,82,224,3,309,1,1,0
33 STREET,20,523,716,241,31,6,7,173,291,730,55,281,365,1166,6,1537,1,1,0
116 ST.-COLUMBIA UNIVERSITY,4,219,80,16,4,1,2,103,44,60,10,105,114,208,2,324,0,0,1
8 ST.-NYU,0,12,13,3,4,0,1,7,8,6,5,5,7,25,0,32,0,0,1
FORDHAM ROAD,2,102,254,122,10,1,0,9,134,310,14,24,38,453,0,491,0,0,1
14 ST.-UNION SQUARE,1,49,68,17,1,0,1,19,27,48,8,33,35,101,0,136,0,0,1
FULTON STREET,16,398,483,166,17,0,6,78,367,397,30,202,278,800,2,1080,0,0,1
CLINTON-WASHINGTON AVENUES,0,60,95,27,2,0,0,15,36,55,5,73,63,121,0,184,0,0,1
181 STREET,0,29,39,21,1,0,0,3,19,52,0,16,23,66,1,90,0,0,1
66 ST.-LINCOLN CENTER,0,14,10,8,3,0,0,3,9,12,1,10,6,29,0,35,0,0,1
242 ST.-VAN CORTLANDT PARK,0,57,68,34,0,1,0,4,34,101,1,20,29,131,0,160,0,0,1
BOROUGH HALL,2,38,55,25,4,0,1,9,54,27,4,29,31,93,0,124,0,0,1
NEVINS STREET,0,38,70,21,2,0,0,12,67,32,2,18,27,104,0,131,0,0,1
DITMARS BLVD.-ASTORIA,3,75,78,15,0,0,0,11,16,93,12,39,32,139,0,171,0,0,1
