Station,10-17,18-24,25-40,41-59,60+,Unknown,Total
138 ST.-GRAND CONCOURSE,0,13,26,9,2,2,52
"4,5",0,13,26,9,2,2,52
149 ST.-GRAND CONCOURSE,3,96,190,81,4,1,375
"2,5",0,0,5,2,0,0,7
4,3,96,185,79,4,1,368
161 ST.-YANKEE STADIUM,3,89,190,116,10,1,409
4,0,45,93,64,6,1,209
"B,D",3,44,97,52,4,0,200
167 STREET,0,25,43,27,6,1,102
4,0,19,29,23,4,1,76
"B,D",0,6,14,4,2,0,26
170 STREET,1,69,156,49,2,5,282
4,1,59,123,39,0,3,225
"B,D",0,10,33,10,2,2,57
174-175 STREETS,0,7,11,3,0,0,21
"B,D",0,7,11,3,0,0,21
176 STREET,1,55,66,28,4,1,155
4,1,55,66,28,4,1,155
182-183 STREETS,4,52,66,37,3,0,162
"B,D",4,52,66,37,3,0,162
183 STREET,1,37,62,28,1,0,129
4,1,37,62,28,1,0,129
205 ST.-NORWOOD,0,8,12,6,0,0,26
D,0,8,12,6,0,0,26
219 STREET,0,7,15,5,0,0,27
"2,5",0,7,15,5,0,0,27
225 STREET,2,15,38,15,1,0,71
"2,5",2,15,38,15,1,0,71
233 STREET,0,1,7,1,0,0,9
"2,5",0,1,7,1,0,0,9
238 ST.-NEREID AVE.,0,4,2,3,0,0,9
"2,5",0,4,2,3,0,0,9
241 ST.-WAKEFIELD,1,10,18,8,1,0,38
2,1,10,18,8,1,0,38
3 AVENUE-138 STREET,1,18,66,29,0,0,114
6,1,18,66,29,0,0,114
3 AVENUE-149 STREET,2,53,103,44,5,0,207
"2,5",2,53,103,44,5,0,207
ALLERTON AVENUE,2,5,15,6,0,0,28
"2,5",2,5,15,6,0,0,28
BAYCHESTER AVENUE,0,4,6,0,0,0,10
5,0,4,6,0,0,0,10
BEDFORD PK. BLVD.,0,4,5,2,0,0,11
"B,D",0,4,5,2,0,0,11
BEDFORD PK. BLVD.-LEHMAN COLLEGE,0,5,5,5,0,0,15
4,0,5,5,5,0,0,15
BRONX PARK EAST,0,21,40,13,0,0,74
"2,5",0,21,40,13,0,0,74
BROOK AVENUE,0,17,23,10,0,0,50
6,0,17,23,10,0,0,50
BURKE AVENUE,0,0,5,2,0,0,7
"2,5",0,0,5,2,0,0,7
BURNSIDE AVENUE,2,47,70,30,1,0,150
4,2,47,70,30,1,0,150
CASTLE HILL AVENUE,1,7,28,8,0,0,44
6,1,7,28,8,0,0,44
CYPRESS AVENUE,0,1,4,1,0,0,6
6,0,1,4,1,0,0,6
DISTRICT 12 OFFICE,0,1,0,0,0,0,1
N/A,0,1,0,0,0,0,1
DYRE AVE.-EASTCHESTER,0,1,0,0,0,0,1
5,0,1,0,0,0,0,1
EAST 143 ST.-ST. MARYS STREET,0,1,2,0,0,0,3
